Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),N (mg/kg),P (mg/kg),K (mg/kg),Mg (mg/kg),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
Sample-SL226,0-30,Yengil qum,6.07,1.54,1.3,1.55,29.48,29.2,18.34,325.63,54,26.53,5.93,1.4903693948132,12.4,1.48684265398133,1.93,Sabzi
NMNT-565,0-30,Yengil qum,,4.11,2.6,1.35,13.29,74.16,39.13,498.44,25.4068385161077,22.26,7.5,2.64799644599496,3.82,2.45909992801652,,Sabzi
NTTM-534,0-30,Yengil qum,6.56,4,0.8,1.41,27.51,58.8,31.28,486.68,43.2582127774633,25.77,7.19,6,13.01,1.50538347568639,,Sabzi
NMNX-50089,0-30,Qumoq,8.24,3.81,2.22,1.35,28.4,69.65,31.35,481.33,30.0439133808217,27.88,9.04,5.52541222623929,12.15,1.3545337936657,1.56,Sabzi
Sample-SL227,0-30,Yengil qum,7.14,4.14,0.96,1.25,17.62,72.21,38.31,511.81,37.5422639068433,28.85,7.55,1.06018873308617,12.81,2.93802012935999,2.35,Sabzi
NMNT-566,0-30,Loy,8.39,1.47,3.84,1.67,19.93,26.22,16.24,366.59,44.2267045859667,23.09,10.66,3.96960647127128,5.07,4,1.55,Sabzi
NTTM-535,0-30,Loy,6.29,3.84,1.2,1.36,29.79,66.21,33.58,517.77,34.3288761414865,25.34,12.09,2.48927129947164,3.79,2.79040285408633,,Sabzi
NMNX-50090,0-30,Loy,8.7,1.82,2.16,1.5,11.64,26.35,13.78,391.92,31.0044278157713,19.62,8.48,4.65651665636946,10.41,1.63913229795762,2.63,Sabzi
Sample-SL228,0-30,Gill,7.47,0.83,5.33,1.76,23,15.67,9.22,321.17,60,27.97,7.8,5.01117459601212,,2.22884084070209,2.32,Sabzi
NMNT-567,0-30,Yengil qum,8.9,0.58,5.34,1.73,21.29,9.5,7.67,354.5,29.8540785426192,22.91,8.51,6,4.45,1.53823912190353,1.42,Sabzi
NTTM-536,0-30,Yengil qum,8.18,3.3,2.32,1.41,28.85,54.8,26.52,423.54,49.6817899087821,22.32,7.97,2.19851121414499,7.17,2.19959691329324,2.25,Sabzi
NMNX-50091,0-30,Qumoq,7.24,3.22,0.95,1.28,16.74,44.47,26.45,416.16,42.8973119296844,26.03,7.45,2.01007698797447,12.34,2.37781179496891,2.05,Sabzi
Sample-SL229,0-30,Qumoq,7.65,4.54,2.23,1.36,15.87,68.29,30.84,489.48,68.5978837355877,22.74,,2.9485069723929,10.64,2.20855567174468,1.17,Sabzi
NMNT-568,0-30,Gill,6.22,2.23,3.13,1.57,15.05,35.28,24.01,380.84,23.3482625814466,25.31,9.92,4.02676787049458,11.91,1.63012551516682,,Sabzi
NTTM-537,0-30,Loy,6.32,4.35,0.87,1.31,18.79,64.66,31.56,491.43,33.2209764390707,25.39,9.72,1.31680819870415,6.74,2.43422105363189,0.88,Sabzi
NMNX-50092,0-30,Loy,7.84,2.37,3.2,1.53,26.03,35.92,19.19,426.82,46.7617596973309,22.29,7.62,1.68003461065257,11.67,2.7228807644167,1.86,Sabzi
Sample-SL230,0-30,Loy,7.74,3.67,2.75,1.63,20.56,49.12,23.94,447.12,39.071778840794,25.68,9.45,3.54956268069131,3.4,2.04504847558566,0.9,Sabzi
NMNT-569,0-30,Loy,7.73,1.99,1.16,1.38,26.63,32.63,19.09,386.93,26.7907254522729,26,8.81,4.21997227931803,5.76,1.54561423783238,1.9,Sabzi
NTTM-538,0-30,Gill,8.37,0.83,4.5,1.71,18.26,8.42,6.3,306.36,22.7732819679763,28.15,9.05,3.12872857055031,,2.86145031995009,2.13,Sabzi
NMNX-50093,0-30,Yengil qum,8.74,1.02,4.74,1.65,23.07,20.79,11.48,354.04,24.8830599896526,21.69,12.03,1.85264391281008,8.62,2.03942964471636,1.44,Sabzi
Sample-SL231,0-30,Gill,7.32,2.19,3.41,1.58,23.85,43.44,23.14,377.02,47.599032359458,20.63,8.91,4.32195144685404,5.69,2.62280876610241,1.7,Sabzi
NMNT-570,0-30,Qumoq,6.06,3.48,1.03,1.59,27.18,67.28,26.29,439.37,41.709338335452,29.11,12.13,2.75319800314859,11.77,2.64791250334242,1.71,Sabzi
NTTM-539,0-30,Loy,8.85,0.8,5.33,1.62,25.24,10.81,8.18,347.92,39.9419227600146,22.96,9.17,4.2139345193417,8.16,2.53469456652524,2.67,Sabzi
NMNX-50094,0-30,Gill,7.59,1.18,3.18,1.74,18,25.08,15.47,348.68,31.648991471323,22.21,7.79,5.59349855539636,12.62,2.6588629138319,0.38,Sabzi
Sample-SL232,0-30,Loy,8.9,1.61,4.09,1.49,27.3,28.45,17.05,335.81,59.4201037639713,26.55,7.75,3.98269845019716,4.23,2.31871862929369,2.21,Sabzi
NMNT-571,0-30,Loy,8.03,4.06,0.84,1.29,18.85,62.55,30.05,523.22,22.6393562444243,28.86,7.84,6.13273458084936,12.65,1.78994687301759,1.19,Sabzi
NTTM-540,0-30,Loy,7.04,3.04,2.9,1.38,15.34,47.39,27.92,459.53,43.7199381157079,27.82,8.72,4.08363791532209,3.09,2.83640654475187,2.07,Sabzi
NMNX-50095,0-30,Qumoq,8.29,2.89,0.73,1.43,28.03,51.6,25.83,447.42,46.548379363494,23.11,9.55,2.93831001251374,8.58,2.85009359303057,1.36,Sabzi
Sample-SL233,0-30,Loy,7.89,4.87,1.29,1.34,17.91,60.99,29.53,493.57,44.3111438160051,24.66,12.99,6,6.39,2.11680983774454,,Sabzi
NMNT-572,0-30,Qumoq,6.29,3.71,0.75,1.28,21.94,74.9,38.08,477.31,40.7257105654061,22.44,10.76,4.75010558709313,10.72,2.41244012373977,1.84,Sabzi
NTTM-541,0-30,Loy,7.61,4.16,2.55,1.42,15.66,62.33,27.01,498.78,45.5640309120144,27.14,,1.2,10.88,1.65110221888754,2.08,Sabzi
NMNX-50096,0-30,Yengil qum,6.74,4,1.98,1.38,16.41,70.69,29.81,518.16,55.7449584884425,24.35,8.87,1.2,13.76,2.52711925342459,1.82,Sabzi
Sample-SL234,0-30,Yengil qum,7.14,2.58,2.02,1.55,18.14,33.25,19.68,394.47,48.4582504753215,28.13,8.31,2.16962689203087,3.23,3.60437167491383,2.02,Sabzi
NMNT-573,0-30,Yengil qum,6.95,4.03,0.89,1.28,13.2,63.47,31.61,496.63,53.4831546115606,25.35,13.02,4.0978756017991,14.15,2.97470431811901,2.11,Sabzi
NTTM-542,0-30,Yengil qum,7.44,4.42,0.62,1.31,29.83,64.72,35.46,489.43,45.7529009493656,29.21,8.17,4.75241896792158,11.45,3.14847535973436,,Sabzi
NMNX-50097,0-30,Gill,6.59,1.46,5.17,1.72,12.63,33.17,16.24,354.62,21.0696113432686,25.36,12.07,5.22825179646024,10.17,2.05387556232621,2.8,Sabzi
Sample-SL235,0-30,Qumoq,6.93,3.23,4.35,1.54,15.15,47.73,28.6,454.77,32.6260160383998,25.97,6.3,4.62198195122012,14.4,3.34016463466768,,Sabzi
NMNT-574,0-30,Yengil qum,6.98,1.44,4.12,1.67,9.22,27.91,12.76,349.97,32.9510662442208,29.15,10.36,3.4332161734523,5.54,2.41863479916905,,Sabzi
NTTM-543,0-30,Yengil qum,8.02,1.08,4.76,1.79,29.79,17.89,9.76,333.43,20.3433898979104,18.79,8.1,3.00289606040231,8.5,2.58845370424471,1.59,Sabzi
NMNX-50098,0-30,Loy,8.04,3.88,5.08,1.36,29.78,53.44,25.74,446.54,39.0183285294615,28.37,10.76,6.23849365026761,13.4,3.23650999384469,1.56,Sabzi
Sample-SL236,0-30,Qumoq,6.47,4.13,0.68,1.4,19.87,59.76,35.35,473.46,31.1628958311515,29.13,10.1,2.5636003882286,8.97,1.72439461854102,2.54,Sabzi
NMNT-575,0-30,Yengil qum,6.56,4.68,2.69,1.34,22.33,72.13,28.43,474.58,33.4983529485362,29.02,12.09,1.2,5.67,1.2,2.15,Sabzi
NTTM-544,0-30,Gill,6.73,2.33,2.84,1.53,15.63,41.83,24.49,415.98,14.9863212808352,27.32,9.16,2.74489089790036,5.47,1.87718654081916,,Sabzi
NMNX-50099,0-30,Yengil qum,8.34,0.74,5.11,1.66,23.44,15.42,11.44,322.95,48.0468533132395,28.18,10.22,5.26040906979901,13.14,2.40074686787512,1.7,Sabzi
Sample-SL237,0-30,Loy,7.5,4.1,1.35,1.46,20.72,57.38,29.04,475.71,33.062441500068,23.17,9.73,5.02373904730459,7.96,2.98777179638841,0.83,Sabzi
NMNT-576,0-30,Loy,6.09,3.9,1.22,1.38,26.04,73.48,36.3,499.13,40.4292909565744,26.14,13.22,3.49618933779185,11.04,2.42179081695548,2.7,Sabzi
NTTM-545,0-30,Loy,6.67,3.82,2.12,1.5,22.64,63.14,35.85,501.8,17.0963097472294,26.5,11.31,5.35431308591542,7.06,2.63447750647969,1.9,Sabzi
NMNX-50100,0-30,Loy,6.38,4.04,1.38,1.58,13.89,59.93,34.84,493.11,31.5701104608069,28.06,8.59,3.25062192799407,14.14,2.46105577367395,1.02,Sabzi
Sample-SL238,0-30,Loy,8,1.78,2.48,1.56,22,25.9,13.27,388.51,45.2308771626455,22.83,10.29,4.11665416192248,3.54,1.82899285384713,2.02,Sabzi
NMNT-577,0-30,Yengil qum,7,2.08,2.96,1.59,20.02,35.35,16.15,373.4,15,28.49,11.89,1.8008088474675,3.63,4,1.07,Sabzi
NTTM-546,0-30,Loy,7.81,3.95,0.98,1.4,23.4,53.06,33.41,519.84,46.9257936791652,29.46,12.78,3.90515364368144,10.55,1.37963617591399,0.57,Sabzi
NMNX-50101,0-30,Yengil qum,6.96,1.4,4.58,1.71,25.81,31.12,14.43,352.72,25.9430507815235,,11.41,1,14.26,2.54597871028149,2.79,Sabzi
Sample-SL239,0-30,Gill,8.79,0.94,4.28,1.67,19.01,14.48,11.38,327.01,23.9377744287973,,9.4,3.42103849359486,3.08,3.15292030634975,1.44,Sabzi
NMNT-578,0-30,Qumoq,6.94,3.2,2.26,1.44,26.1,56.13,30.92,461.76,37.8238067683415,,7.96,2.85873838360332,11.65,1.53778748840757,2.19,Sabzi
NTTM-547,0-30,Loy,7.95,1.17,5.09,1.72,19.73,24.69,13.94,353.1,60,23.14,11.85,4.88412049008558,3.79,2.77628861109968,2.21,Sabzi
NMNX-50102,0-30,Yengil qum,7.44,0.71,4.55,1.71,27.85,12.38,6.86,293.02,38.833983489737,22.46,6.77,3.85566292074887,7.6,1.06615834679819,,Sabzi
Sample-SL240,0-30,Gill,7.73,0.87,4.15,1.71,13.63,12.85,10.82,328.82,30.7843626597067,24.41,10.38,3.53408942197666,5.04,1.32614846744167,1.45,Sabzi
NMNT-579,0-30,Qumoq,6.59,3.29,1.48,1.54,17.95,60.06,26.23,460.77,57.5833512981059,19.03,12.38,6,,2.19400962666497,,Sabzi
NTTM-548,0-30,Gill,6.98,2.28,4.3,1.49,21.16,39.37,21.64,428.29,34.4006362883801,28.74,8.74,1.86421772900648,7.12,2.38586980351432,1.11,Sabzi
NMNX-50103,0-30,Yengil qum,8.64,3.11,1.24,1.55,14.5,50.09,28.94,451.14,15,29.59,8.1,4.47710515694581,12.92,2.25445282058281,1.87,Sabzi
Sample-SL241,0-30,Loy,6.53,3.86,1.04,1.39,10.49,62.23,31.25,457.05,54.2461007760541,26.82,6.25,1.71959718279028,6.13,2.22918331106882,1.38,Sabzi
NMNT-580,0-30,Gill,7.51,1.59,5.11,1.62,15.89,24.43,15.14,339.61,44.6892071498824,26.44,9.72,3.79479127592976,4.48,2.95152551394359,0.72,Sabzi
NTTM-549,0-30,Yengil qum,8.22,2.09,2.9,1.47,23.95,42.24,23.57,417.23,30.7648791700513,29.41,9.33,3.42790798135107,5.81,1.87023399134961,,Sabzi
NMNX-50104,0-30,Gill,6.19,2.7,1.38,1.58,17.05,45.27,18.08,385.45,70,20.1,6.25,1.99340630900171,8.55,2.7891914387948,0.8,Sabzi
Sample-SL242,0-30,Loy,6.81,1.88,5.31,1.79,23.92,34.88,15.51,353.08,38.0532322406456,24.88,7.13,2.82428432299624,11.51,2.71033307005111,1.35,Sabzi
NMNT-581,0-30,Yengil qum,8.54,0.68,4.96,1.69,20.2,13.56,8.22,294.54,47.3039133527173,29.55,6.91,3.58304256882555,7.59,1.76504057763412,1.9,Sabzi
NTTM-550,0-30,Qumoq,7.23,3.89,1.56,1.32,17.26,69.47,35.28,475.63,20,24.84,,3.48763101482472,12.06,1,2.5,Sabzi
NMNX-50105,0-30,Yengil qum,7.17,2.08,2.85,1.55,11.51,37.38,21.2,391.91,50.0082412323844,28.27,8.17,3.17600540142936,14.12,3.31397814078355,2.15,Sabzi
Sample-SL243,0-30,Qumoq,6.08,3.58,2.31,1.5,29.61,76.92,30.29,484.49,45.8685621735784,25.53,10.01,5.57819566805927,9.62,2.16739279994511,1.72,Sabzi
NMNT-582,0-30,Yengil qum,6.18,2.99,2.12,1.53,28.6,48,29.13,496.73,38.8268850213397,28.6,8.16,3.46455290488702,7.78,3.32159288326042,0.56,Sabzi
NTTM-551,0-30,Loy,7.26,2.26,3.49,1.47,19.5,45.13,26.02,409.42,38.1702930461307,29.86,10.85,3.14120996300907,5.8,2.64957943110773,1.89,Sabzi
NMNX-50106,0-30,Gill,8.84,0.7,5.27,1.78,24.58,14.86,10.16,334.32,38.8902365234183,28.56,7.04,2.70199081774775,13.61,1.90555501641333,2.02,Sabzi
Sample-SL244,0-30,Loy,7.13,3.64,3.73,1.58,15.64,68.56,34.44,493.61,49.6486217215576,27.44,9.96,5.34239642813702,4.78,2.67000793329127,1.77,Sabzi
NMNT-583,0-30,Yengil qum,6.96,3.53,0.81,1.55,29.91,59.22,26.33,461.41,41.9365152714519,27.04,9.42,5.87399373086774,10.51,2.21487876626282,2.5,Sabzi
NTTM-552,0-30,Yengil qum,8.12,0.95,2.75,1.69,15.56,20.17,13.23,296.33,43.7919889729841,25.46,9.59,5.8677340254146,9.8,2.11631075651526,1.79,Sabzi
NMNX-50107,0-30,Gill,7.27,1.29,4.63,1.69,23.14,19.09,13.03,352.96,40.125296974445,29.78,13.33,2.63312489961759,5.46,1.58156903851913,2.52,Sabzi
Sample-SL245,0-30,Yengil qum,6.05,3.78,0.94,1.32,26.33,76.36,35.69,494.33,37.9337346502081,24.39,6.25,3.70658357444735,10.02,2.54362014779025,3.35,Sabzi
NMNT-584,0-30,Gill,8.57,1.84,4.67,1.53,12.12,29.82,14.55,383.79,36.0808716454788,24.82,9.68,3.91149436905673,7.16,2.73979746292744,2.68,Sabzi
NTTM-553,0-30,Qumoq,7.86,4.18,3.74,1.47,18.27,69.6,33.54,503.18,20.0203352256372,21.97,12.12,7,7.68,1.86327423119441,1.33,Sabzi
NMNX-50108,0-30,Loy,7.47,1.39,3.72,1.72,16.7,20.54,15.31,334.02,26.2397514285851,29.88,11.88,3.66482645368382,10.27,2.71936574719032,2.56,Sabzi
Sample-SL246,0-30,Yengil qum,8.51,0.83,4.34,1.69,12.1,13.33,8.71,352.99,25.330193396818,20.74,10.94,3.84994078280249,6.86,2.55076023784459,2.68,Sabzi
NMNT-585,0-30,Loy,7.64,3.72,2.59,1.37,10.78,51.92,25.53,423.09,39.5519951269096,26.4,10.69,4.75989628253399,12.51,2.495721335169,,Sabzi
NTTM-554,0-30,Loy,8.77,1.58,5.02,1.71,17.94,25.12,12.97,388.81,36.6730699123025,25.31,11.53,6,10.35,2.77992260963111,1.57,Sabzi
NMNX-50109,0-30,Gill,8.94,0.99,3.5,1.73,18.4,16.55,10.12,383.27,34.2774270134257,22.96,13.31,1.84225944821609,9.31,1.21785925852495,2.01,Sabzi
Sample-SL247,0-30,Yengil qum,8.64,1.5,4.22,1.76,13.52,21.71,17.27,367.39,26.8238548327386,29.58,12.32,4.77739572012828,6.18,3.5,2.1,Sabzi
NMNT-586,0-30,Loy,6.2,3.89,0.74,1.28,19.09,64.98,31.57,532.97,48.3233792952681,29.72,8.96,4.18238298438666,4.41,2.10048994725587,2.51,Sabzi
NTTM-555,0-30,Qumoq,8.08,2.32,3.67,1.42,12.84,41.22,17.76,386.26,19.9580794892417,27.75,9.98,5.71259178476012,12.45,3.43224422383475,2.49,Sabzi
NMNX-50110,0-30,Yengil qum,7.88,1.76,3.55,1.56,13.11,32.34,14.03,354.45,23.84789603268,27.47,8.59,4.83715432209506,7.6,2.45525436251561,1.43,Sabzi
Sample-SL248,0-30,Yengil qum,7.11,4.03,2.23,1.32,22.68,57.91,35.98,487.64,50.8842307925543,27.37,9.4,1.5,,4,1.64,Sabzi
NMNT-587,0-30,Gill,8.67,1.24,5.05,1.56,22.92,27.07,13.78,376.11,64.625350157826,29.58,10.46,3.75945657640012,14.24,1.78346233791285,2.11,Sabzi
NTTM-556,0-30,Loy,6.79,2.7,3.89,1.6,23.5,50,25.13,418.67,36.4994916025112,25.84,9.47,3.98961078753695,3.72,1.99686304204312,2.64,Sabzi
NMNX-50111,0-30,Yengil qum,8.54,2.69,1.67,1.53,14.17,35.48,20.09,425.75,42.8954559487083,26.12,9.86,3.57100291301745,6.33,2.30842971193855,2.53,Sabzi
Sample-SL249,0-30,Loy,7.61,0.66,4.47,1.71,29.27,16.73,9.57,376.28,70,27.1,11.53,4.00795039142386,9.35,2.24481540584508,2.67,Sabzi
NMNT-588,0-30,Yengil qum,7.28,3.57,2.28,1.55,24.32,50.95,31.24,446.83,23.2156230971414,23,7.65,2.88253831411505,14.52,2.15946308353581,1.86,Sabzi
NTTM-557,0-30,Yengil qum,6.17,2.23,1.03,1.45,20.57,36.97,20.29,404.58,34.7806606250006,26.26,7.74,1.1809953373337,,3.10569427791142,2.89,Sabzi
NMNX-50112,0-30,Gill,7.48,2.97,4.89,1.54,27.88,50.27,23.73,401.78,50.2718018218891,27.25,5.88,3.18874559752658,3.7,2.61786124254271,,Sabzi
Sample-SL250,0-30,Qumoq,6.56,2.95,3.42,1.34,17.52,50.98,24.65,414.11,42.2766003339021,27.28,10.03,5.15225311204921,11.55,1.95264371583206,,Sabzi
NMNT-589,0-30,Qumoq,6.27,3.77,1.6,1.31,22.28,74.32,31.9,496.71,52.4363985712344,20.1,7.9,2.7723547139204,,2.98106785828067,2.11,Sabzi
NTTM-558,0-30,Yengil qum,6.9,4.02,0.97,1.31,19.22,76.41,38.32,491.57,33.0594356879707,24.26,11.29,5.49128993742713,7.39,2.96586438920665,,Sabzi
NMNX-50113,0-30,Gill,6.98,1.47,4.98,1.65,29.02,26.5,12.81,333.35,38.9693976941081,29.78,11.35,6.77609975170751,3.78,4,2.01,Sabzi
Sample-SL251,0-30,Yengil qum,6.1,4.16,1.22,1.36,25.56,60.71,29.38,480.51,28.6853848438615,27.36,9.98,5.09760621522735,11.34,3.5,1.9,Sabzi
NMNT-590,0-30,Yengil qum,8.35,1.34,3.06,1.56,15.56,23.35,14.99,364.92,60,26.84,7.82,2.83465060321187,3.66,2.34748641325317,1.77,Sabzi
NTTM-559,0-30,Qumoq,8.31,3.2,0.86,1.45,24.24,66.93,25.64,478.96,32.3055364265789,24.81,8.67,6,14.34,1.27084635347447,2.12,Sabzi
NMNX-50114,0-30,Yengil qum,7.07,3.81,2.56,1.5,29.39,57.19,30.57,450.28,27.2117172543901,29.06,8.29,5.00635295031062,11.42,3.21493076831163,3,Sabzi
Sample-SL252,0-30,Loy,7.14,3.09,2.49,1.55,28.54,47.98,23.44,437.55,40.7449882758763,24.81,8.8,4.62186205597594,12.01,2.92747428370276,2.55,Sabzi
NMNT-591,0-30,Loy,6.36,3.47,1.58,1.33,24.6,58.12,35.8,477.59,60,24.45,6.78,1,5.21,1.60727022348421,1.32,Sabzi
NTTM-560,0-30,Yengil qum,8.15,2.37,2.43,1.48,12.99,33.73,23.87,404.56,36.1995018264553,25.16,11.16,1.95826485473352,4.66,1.65224297058032,,Sabzi
NMNX-50115,0-30,Qumoq,6.35,3.12,1.57,1.67,16.01,39.59,22.26,446.58,51.4489284232762,27.24,8.32,3.50733508803361,3.45,2.87928347637901,1.37,Sabzi
Sample-SL253,0-30,Gill,7.32,1.33,2.02,1.56,12.77,17.22,13.86,350.49,26.0622184292192,29.14,7.89,5.01120171189513,11.01,1.59779268647639,2.32,Sabzi
NMNT-592,0-30,Loy,7.53,1.69,2.94,1.72,27.35,27.66,17.61,359.65,52.5794753618204,25.75,,5.79457571297432,13.63,1.68055029932727,2.8,Sabzi
NTTM-561,0-30,Loy,8.52,3.94,2.02,1.31,20.15,65.25,28.97,481.96,41.46155220414,29.43,9.1,3.75287634119739,12.75,1.5,2.15,Sabzi
NMNX-50116,0-30,Qumoq,7.66,2.37,5.16,1.54,23.83,43.22,19.54,423.99,39.3857094777475,28.97,12.06,5.55097093830119,6.12,1.78546202137274,2.6,Sabzi
Sample-SL254,0-30,Loy,7.48,1.42,3.39,1.48,24.61,30.05,14.54,359.8,30.6597665521868,24.55,7.89,1,9.51,2.16739438558072,2.7,Sabzi
NMNT-593,0-30,Qumoq,8.87,3.3,1.08,1.47,20.55,54.85,23.6,478.43,33.8661391030926,22.97,11.97,3.25327276250277,13.71,2.59114991281813,2.05,Sabzi
NTTM-562,0-30,Loy,,1.15,4.2,1.66,17.75,20.56,14.16,322.35,41.3675749132261,24.7,8.03,2.7757655064806,12.8,2.25121079005413,1.63,Sabzi
NMNX-50117,0-30,Qumoq,,1.89,4.45,1.55,15.83,31.02,18,412.39,21.6779434241154,28.24,10.46,6.65913292397255,,2.86605880339927,3.24,Sabzi
Sample-SL255,0-30,Gill,,1.29,2.81,1.64,23.37,23.04,11.96,344.98,41.5641149592349,23.75,7.07,2.61600461511364,10.18,2.48777966438033,1.62,Sabzi
NMNT-594,0-30,Yengil qum,,2.85,1.36,1.49,18.02,39,24.6,431.29,30.1588886395555,28.67,9.24,2.05501321466762,11.05,2.63154561082437,,Sabzi
NTTM-563,0-30,Yengil qum,,2.42,1.82,1.44,16.23,52.33,25.22,396.56,39.3668783482475,25.88,8.03,1.59703768980191,3.8,2.77604853604407,1.05,Sabzi
NMNX-50118,0-30,Yengil qum,,2.02,3.9,1.62,22.68,31.88,17.65,387.48,21.537338357512,23.9,10.89,2.73643328493437,6.66,1.87013863509367,1.51,Sabzi
Sample-SL256,0-30,Yengil qum,,2.09,2.35,1.62,23.79,31.64,17.95,389.98,23.7253230795363,29.68,8.35,5.44655310146444,11.1,2.57968453224806,2.06,Sabzi
NMNT-595,0-30,Qumoq,,1.98,3.98,1.65,15.88,31.08,21.65,400.67,44.0177679320669,25.33,8.03,6,,2.62476377926323,1.12,Sabzi
NMNX-53864,0-30,Yengil qum,,3.29,3.16,1.48,21.6,45.58,26.36,427.14,53.1793842120256,21.45,11.61,6,5.23,2.39882502250931,2.38,Sabzi
NTXM-371,0-30,Loy,,2.73,3.87,1.59,22.24,51.25,22.05,425.25,50.1198886345772,24.62,8.35,6.55132243434911,14.79,2.17849896488413,2.48,Sabzi
TSPD-2220,0-30,Yengil qum,,3.44,3.01,1.4,15.71,52.09,27.55,437.47,30.6437061523644,28.39,6.88,6,9.29,2.19362111370212,1.17,Sabzi
Karta-331,0-30,Yengil qum,,3.11,3.92,1.44,25.47,45.29,27.61,458.4,21.622376255339,28.72,10.46,4.60955629681688,10.02,1.36653712068891,1.02,Sabzi
NTTM-333,0-30,Qumoq,,4.44,0.61,1.31,15.2,65.47,34.19,506.62,40.024781261204,26.9,7.98,5.66285916932456,13.93,2.1667890058502,1.67,Sabzi
NMNX-1447,0-30,Gill,,1.1,4.77,1.7,16.1,17.22,13.1,340.88,39.6422919051013,21.94,9.7,4.49101963358988,12.36,1.98914709783585,3.03,Sabzi
NMNX-352,0-30,Qumoq,,3.47,3.54,1.4,23.54,59.53,27.41,480.21,32.4699480481997,27.13,9.7,4.76971469108138,3.7,2.93383086045059,2.37,Sabzi
NTXM-361,0-30,Yengil qum,,1.96,2.48,1.58,15.25,32.55,16.08,371.61,15,23.05,12.66,2.90655388093314,5.71,2.24014886888665,1.37,Sabzi
NMNX-353,0-30,Yengil qum,,2.66,3.88,1.64,19.47,40.14,21.35,427.44,17.771288015713,26.73,8.83,1.81159252025938,11.47,1.93428390494366,0.93,Sabzi
NTXM-362,0-30,Yengil qum,,3.44,1.43,1.35,20.66,54.52,28.67,471.97,34.3993383675337,29.92,9.95,4.2058188805733,13.17,1.90216007136336,1.45,Sabzi
NMNT-354,0-30,Loy,,1.96,4.42,1.4,26.81,22.64,14.52,388.89,15,25.49,12.1,5.97440776256996,9.53,2.9453939250605,,Sabzi
NTTM-323,0-30,Loy,,2.55,2.07,1.58,29.16,35.69,17.16,418.68,34.6024092122183,29.12,10.96,4.85927528642153,10.28,2.2639946232062,2.24,Sabzi
NMNX-53011,0-30,Yengil qum,,3.94,2.03,1.48,25.34,58.32,26.16,495.51,31.3292100965547,28.68,11.12,6,14.01,2.46410185262019,1.14,Sabzi
NMNX-53132,0-30,Yengil qum,,3.55,0.76,1.33,21.45,60.12,29.36,468.15,70,20.81,9.11,2.47425222909015,13.26,1.20623185378737,1.36,Sabzi
NTXM-362,0-30,Loy,,3.2,1.99,1.34,21.12,48.72,30.39,456.91,21.4199658587985,21.82,11.04,3.80627699984118,8.21,3.38905856927093,1.42,Sabzi
NMNX-354,0-30,Yengil qum,,2.36,4.33,1.7,26.42,28.36,18.48,389.77,45.6296688653012,28.66,12.49,1.5,3.34,2.33426806183527,1.65,Sabzi
NTXM-363,0-30,Yengil qum,,0.76,2.86,1.74,17.97,10.82,10.49,293.8,18.4965317880537,29.91,12.5,3.39340092638104,,1.62445513176138,1.74,Sabzi
NMNT-355,0-30,Loy,,3.13,1.8,1.44,26.6,39.58,26.53,487.62,46.8913745779737,27.98,8.94,5.28796643002354,3.58,1.93411430248249,1.72,Sabzi
NTTM-324,0-30,Yengil qum,,3.89,1.38,1.48,16.57,57.74,26.42,442.84,38.496979959437,29.13,10.06,3.60847408683245,6.75,2.74475934484781,2.1,Sabzi
NMNX-53012,0-30,Loy,,1.12,4.86,1.72,28.87,17.02,12.46,354.93,37.3958835877454,27.47,11.24,4.9469527338793,4.76,2.60443029677189,1.56,Sabzi
NMNX-53133,0-30,Yengil qum,,3.31,1.28,1.41,26.83,56.14,30.43,456.97,47.8545181812972,23.54,7.39,4.3482597579791,9.24,2.52687094449329,0.76,Sabzi
NTXM-363,0-30,Qumoq,,4.41,0.56,1.5,21.97,71.31,33.93,461.57,48.7152804356739,28.9,11.06,3.89539525488834,13.4,2.60930064107595,1.62,Sabzi
NMNX-355,0-30,Gill,,2.48,2.53,1.74,15.66,35.9,22.35,396.06,54,22.98,11.4,5.52495643986848,5.89,2.04119059541028,1.74,Sabzi
NTXM-364,0-30,Loy,,1.34,1.91,1.43,25.62,24.51,17,395.75,28.8200584452737,27.77,9.95,1.2,11.01,2.89201119315588,1.82,Sabzi
NMNT-356,0-30,Loy,,0.63,5.13,1.75,15.87,12.63,9.61,316.47,59.8506175999596,25.07,7.22,4.79771357974576,8.54,2.55986170066077,1.78,Sabzi
NTTM-325,0-30,Qumoq,,2.33,5.29,1.56,12.32,37.18,18.11,465.44,46.9171431821247,23.07,7.22,3.76516378013842,14.45,1.76346516557918,2.32,Sabzi
NMNX-53013,0-30,Yengil qum,,2.46,1.48,1.51,16.53,40.35,21.82,428.36,27.8398739448884,29.19,7.33,2.24215333322208,4.21,2.37663325480075,,Sabzi
NMNX-53134,0-30,Yengil qum,,1.54,4.54,1.65,22.64,19.7,12.73,346.27,57.0340718942965,27.49,8.04,6,,2.51614337498345,0.48,Sabzi
NTXM-364,0-30,Yengil qum,,1.87,3.34,1.79,18.07,30.36,18.55,370.99,61.1372407772655,26.49,11.18,4.99112443534379,14.55,2.73860557248936,1.48,Sabzi
