"Sample","Layer (cm)","Mechanical composition","pH","Humus (%)","Soil EC (mS/cm)","Soil density (g/cm³)","CF (%)","N (mg/kg)","P (mg/kg)","K (mg/kg)","Mg (mg/kg)","Microorganisms  (CFU/g)","S (mg/kg)","Fe (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","Cu (mg/kg)","B (mg/kg)","Crop"
"NTTM-1106","40-60 sm","Qumoq","7.07","2.59","0.64","1.33","17.36","41.98","20.08","487.08","435.99","1893698072.3","41.42","9.64","3.377033462548","9.57","2.6242610055255","2.22","Corn"
"Cottonchi_tup_1188","40-60 sm","Gill","8.24","1.55","1.49","1.69","23.55","26.77","15.86","411.94","354.28","724283976.17","39.31","8.78","1.4707473279794","6.96","2.0402090972211","2.22","Wheat"
"Cottonchi_tup_1189","40-60 sm","Qum","8.85","0.76","5.3","1.58","36.81","15.78","9.5","296.29","286.29","186599237.1","39.52","11.67","1.3472013109112","7.32","3.1403159635044","1.92","Wheat"
"NMNX-1135","40-60 sm","Loy","8.65","2.07","3.19","1.65","34.45","24.54","19.19","436.49","389.91","726008308.06","36.4","9.42","4.7982517088045","7.1","1.4221780288545","1.56","Corn"
"Jomboy_1816","40-60 sm","Loy","7.37","1.42","1.88","1.72","16.92","19.13","9.94","335.14","302.66","345333756.82","80.47","5.65","3.886529307504","7.98","2.3397091664071","","Wheat"
"Samar_tt-563","40-60 sm","Qumoq","7.23","3.04","2.47","1.61","26.06","33","24.22","494.77","455.31","","45.22","7.26","4.6105222128484","8.85","2.6295796208499","","Corn"
"Karta-1105","40-60 sm","Gill","7.69","1.93","1.76","1.75","17.48","32.66","16.11","488.94","424.48","1308693453.74","36.33","9.84","3.5203974498837","8.61","2.1974521318228","2.52","Corn"
"NTTM-1107","40-60 sm","Qum","8.58","0.53","4.01","1.72","35.32","11.84","8.22","334.2","307.9","70435863.24","68.47","11.15","4.4176387919513","","1.7773607885659","0.89","Wheat"
"Cottonchi_tup_1190","40-60 sm","Loy","8.96","0.5","4.38","1.85","33.3","6.85","6.48","332.36","343.35","50711713.59","","9.42","5.6141477787637","","2.3700222734897","2.6","Wheat"
"Cottonchi_tup_1191","40-60 sm","Loy","8.69","1.53","0.98","1.49","36.36","32.3","16.32","432.67","","662031030.24","41.49","8.74","1.8449085439822","6.81","2.3728253695636","2.7","Corn"
"NMNX-1136","40-60 sm","Qumoq","6.04","2.14","1.09","1.48","24.02","44.67","18.85","483.89","437.74","1488808754.79","67.35","9.87","4.9115824798697","10.27","1.8922589901294","2.05","Corn"
"Jomboy_1817","40-60 sm","Gill","6.22","2.38","1.69","1.48","20.63","43.13","26.02","477.83","430.8","1316244580.72","44.1","9.44","4.8211734851631","10.03","1.7462651382547","2.44","Corn"
"Samar_tt-564","40-60 sm","Qum","8.76","1.23","3.16","1.51","39.78","13.73","11.18","389.44","370.65","212162311.82","45.07","7.03","3.3679249051605","6.59","3.327043893828","","Wheat"
"Karta-1106","40-60 sm","Loy","8.76","1.04","4.73","1.71","41.52","11.31","9.31","387.58","376.37","222156219.1","30.45","10.33","4.4229004587238","6.64","1.6149702560494","1.54","Wheat"
"NTTM-1108","40-60 sm","Loy","7.47","0.92","5.1","1.83","24.96","13.68","9.01","343.7","322.59","","40.67","7.95","2.7771978605149","8.43","1.8148142413659","","Wheat"
"Cottonchi_tup_1192","40-60 sm","Qumoq","7.07","1.61","2.94","1.77","26.12","34.58","12.57","415.57","399.98","784091616.37","48.56","12.01","4.7741304179722","7.67","3.1327053855473","1.06","Wheat"
"Cottonchi_tup_1193","40-60 sm","Gill","8.6","0.9","3.96","1.8","24.33","16.61","12.58","358.33","341.69","278742441.02","61.24","10.01","2.2629237000742","6.83","2.2519380718674","2.53","Wheat"
"NMNX-1137","40-60 sm","Qum","8.02","2.86","5","1.44","29.93","44.51","23.36","459.02","418.64","","47.43","11.7","3.2692107527611","7.72","2.5664617409346","1.33","Corn"
"Jomboy_1818","40-60 sm","Loy","8.97","0.93","2.89","1.76","27.44","13.1","7.01","316","310.45","137374667.28","52.56","9.41","4.9773085320796","6.21","2.7693100089565","2.13","Wheat"
"Samar_tt-565","40-60 sm","Loy","8.43","0.61","5.41","1.85","23.43","11.28","5.84","348.15","","82800365.99","46.49","10.37","2.4105009121979","7.3","1.4954689998682","1.17","Wheat"
"Karta-1107","40-60 sm","Qumoq","8.92","2.92","1.48","1.38","25.01","29.67","24.49","511.73","454.01","1150141603.58","59.63","8.64","3.446369030233","6.62","1.9246467068842","2.26","Corn"
"NTTM-1109","40-60 sm","Gill","7.81","3.23","1.43","1.37","27.89","44.32","28.88","479.14","423.35","1628407881.67","68.15","7.55","7","9.15","3.0383653628243","2.5","Corn"
"Cottonchi_tup_1194","40-60 sm","Qum","6.84","2.41","1.42","1.47","28.55","36.35","18.44","405.3","399.06","1526913976.15","42.68","10.7","4.467507915087","8.7","1.6640523971071","2.78","Corn"
"Cottonchi_tup_1195","40-60 sm","Loy","6.87","2.11","2.67","1.58","28.28","39.14","23.93","453.88","410.6","1322145218.37","59.15","10.56","7","9.07","2.4932729993031","","Corn"
"NMNX-1138","40-60 sm","Loy","6.52","2.12","1.31","1.51","26.92","30.53","15.98","425.18","389.52","575567901.2","43.32","9.76","3.4255135149776","9.71","1.6862801572968","2.46","Corn"
"Jomboy_1819","40-60 sm","Loy","8.83","0.81","5.52","1.71","28.93","16.54","10.35","358.44","328.76","114506991.2","54.06","7.28","2.5330435911915","6.93","2.0206613635124","1.04","Wheat"
"Samar_tt-566","40-60 sm","Qumoq","8.2","3.24","2.24","1.5","25.38","43.09","18.93","513.89","466.57","1456415747.36","55.44","8.66","2.554456956337","7.54","3.1995148178921","2.42","Corn"
"Karta-1108","40-60 sm","Gill","8.68","0.7","5.37","1.63","26.92","10.62","6.5","339.62","308.1","","54.24","6.94","5.6658846609654","6.19","2.3302537379555","","Wheat"
"NTTM-1110","40-60 sm","Qum","7.68","1.42","2.47","1.48","28.33","25.99","10","372.19","332.64","344075949.96","49.4","5.65","3.8238202095252","7.62","2.0524599725878","1.17","Wheat"
"Cottonchi_tup_1196","40-60 sm","Loy","7.4","0.93","4.93","1.78","28.7","12.76","7.35","347.68","","141433710.7","48.3","10.35","1.2","7.35","3.0535215997612","","Wheat"
"Cottonchi_tup_1197","40-60 sm","Loy","6.15","2.58","3.36","1.51","28","37.84","25.57","504.32","440.22","1876943381.83","60.56","9.99","6","","2.5333908790944","","Corn"
"NMNX-1139","40-60 sm","Qumoq","6.23","2.51","0.62","1.4","21.33","42.25","30.27","482.24","426.14","2221194440.84","72.7","13.16","4.6785268571361","9.08","2.2182314702468","1.82","Corn"
"Jomboy_1820","40-60 sm","Gill","7.17","2.11","2.4","1.44","23.31","25.7","19.42","399.64","359.22","678681062.87","67.67","11.65","1.2","8.62","2.0265295252621","1.63","Corn"
"Samar_tt-567","40-60 sm","Qum","8.57","0.76","3.74","1.62","23.54","15.19","10.43","351.66","319.93","112081845.62","73.03","","1.915266910392","","1.2","1.44","Wheat"
"Karta-1109","40-60 sm","Loy","8.99","0.71","1.92","1.69","23.45","13.98","7.24","370.3","333.5","133143709.79","65.66","10.41","5.818916629323","6.52","1.4585342333168","1.98","Wheat"
"NTTM-1111","40-60 sm","Loy","7.25","2.29","1.98","1.47","24.05","29.59","24.54","459.91","419.27","948873508","49.04","9.73","5.6648854125027","9.48","1.5352377814335","","Corn"
"Cottonchi_tup_1198","40-60 sm","Qumoq","7.49","0.96","2.69","1.6","27.81","11.36","8.93","291.18","307.76","101966839.13","52.27","7.07","3.73261122584","7.29","1.3343626432316","2.1","Wheat"
"Cottonchi_tup_1199","40-60 sm","Gill","7.8","1.85","2.39","1.58","28.36","26.96","12.5","411.54","391.41","529782520.92","53.36","9.54","2.5340002871303","7.13","1.6706032472587","3.05","Wheat"
"NMNX-1140","40-60 sm","Qum","8.31","1.43","5.27","1.69","28.78","24.2","12.56","387.92","333.02","345614029.24","49.83","12.89","3.8095232478333","7.08","1.556181770681","2.87","Wheat"
"Jomboy_1821","40-60 sm","Loy","6.21","2.48","1.92","1.49","26.31","42.66","27.92","450","389.44","1426802636.47","53.21","9.08","1.8321141455192","9.84","2.065567194574","1.23","Corn"
"Samar_tt-568","40-60 sm","Loy","6.98","0.81","2.74","1.73","23.42","21.74","9.33","357.33","336.02","224739794.63","49.14","11.52","5.4012115536005","8.83","2.4839506752729","2.44","Wheat"
"Karta-1110","40-60 sm","Qumoq","7.03","2.08","1.65","1.56","27.58","34.53","21.45","489.7","431.72","1582684379.77","49.86","9.21","3.5539924851606","9.14","2.444019009535","","Corn"
"NTTM-1112","40-60 sm","Gill","8.55","0.83","5.35","1.74","28.21","12.71","6.79","323.45","269.61","","45.62","5.55","5.5111855788403","7.06","2.7544144032579","","Wheat"
"Cottonchi_tup_1200","40-60 sm","Qum","8.09","1.52","0.94","1.81","26.33","21.46","12.72","378.77","358.76","288178025.74","62.75","8.05","3.0471560577067","8.02","1.2","1.27","Wheat"
"Cottonchi_tup_1201","40-60 sm","Loy","8.79","0.4","4.16","1.85","27.8","7.19","4.31","341.42","323.11","47733820.92","","9.46","2.5484437634391","7.01","1.8141310054191","0.9","Wheat"
"NMNX-1141","40-60 sm","Loy","8.18","2.48","1.53","1.38","26.66","51.35","18.63","485.03","474.34","1983372282.64","41.46","7.88","1.1856168449226","7.13","1.6290254123442","2.36","Corn"
"Jomboy_1822","40-60 sm","Qumoq","8.75","0.51","4.28","1.8","20.43","7.83","8.34","323.12","325.51","49790813.7","73.87","7.89","1.2","7.1","2.3560311412876","1.48","Wheat"
"Samar_tt-569","40-60 sm","Gill","8.48","0.67","5.33","1.8","20.99","9.43","7.78","311.15","284.48","","44.8","9.09","3.3386874356459","5.76","2.9994256045416","2.27","Wheat"
"Karta-1111","40-60 sm","Qum","7.9","0.93","5.34","1.66","29.57","11.84","8.35","344.35","346.25","203912319.57","49.04","13.24","1.6553285306132","7.99","2.4702150092011","1.51","Wheat"
"NTTM-1113","40-60 sm","Loy","8.32","1.65","1.88","1.5","28.25","23.22","11.27","416.48","386.88","","66.72","9.44","6","7.42","2.3820705222065","1.13","Wheat"
"Cottonchi_tup_1202","40-60 sm","Loy","6.15","2.66","2.6","1.56","27.12","45.78","22.16","474.83","430.61","","59.58","7.95","1.2","9.47","3.1435836944436","2.14","Corn"
"Cottonchi_tup_1203","40-60 sm","Qumoq","6.43","3.32","2.49","1.57","27.42","59.4","24.25","497.34","465.55","1529982849.67","47.6","7.77","5.1784004014389","8.78","1.997068004835","2.03","Corn"
"NMNX-1142","40-60 sm","Gill","7.26","2.63","1.46","1.35","22.61","52.38","23.07","514.4","466.36","","63.13","9.3","1.6438213176811","9.18","2.7034357397699","2.32","Corn"
"Jomboy_1823","40-60 sm","Qum","6.13","1.67","1","1.68","27.36","32.6","18.52","423.75","410.72","594705422.67","","13.36","1.8583937850748","8.65","1.1756500028126","2.57","Wheat"
"Samar_tt-570","40-60 sm","Loy","6.38","2.63","0.97","1.49","29.34","46.75","24.9","417.04","376.04","975308256.65","46.66","6.23","5.8709348340044","10.17","1.5414937389298","2.59","Corn"
"Karta-1112","40-60 sm","Loy","7.29","1.26","5.11","1.77","29.07","21.47","13.07","394.68","367.14","226869413.66","52.04","9.51","6","8.13","2.1761742504428","2.17","Wheat"
"NTTM-1114","40-60 sm","Qumoq","6.28","2.25","0.89","1.36","24.69","38.83","19.02","448.94","413.66","916839645.63","61.91","9.28","5.5182996628019","9.83","1.2","2.68","Corn"
"Cottonchi_tup_1204","40-60 sm","Gill","6.26","2.08","4.14","1.64","23.42","38.18","17.71","432.49","396","1052619478.11","79.14","8.25","7","9.4","2.323017808427","1.4","Corn"
"Cottonchi_tup_1205","40-60 sm","Qum","7.16","2.03","3.51","1.68","28.69","43.84","21.18","398.78","345.52","988505312.02","57.06","8.56","1","7.93","2.2619098887648","","Corn"
"NMNX-1143","40-60 sm","Loy","8.59","1.8","4.43","1.66","25.24","30.83","14","422.14","387.73","","79.12","10.33","3.4576170867306","7.07","2.4669066302454","2.07","Corn"
"Jomboy_1824","40-60 sm","Loy","7.62","1.1","2.53","1.72","20.61","19.24","12.29","405.44","370.37","253133919.18","48.41","11.45","5.120314941655","8.51","3.1233533454239","2.73","Wheat"
"Samar_tt-571","40-60 sm","Loy","6.47","2.31","2.08","1.49","23.05","41.1","20.28","452.74","406.9","937678827.63","33.52","9.12","3.8950404111181","8.5","2.888350809262","","Corn"
"Karta-1113","40-60 sm","Qumoq","8.2","1.94","3.81","1.69","29.66","32.64","15.18","393.05","","","49.42","8.32","5.1148963204066","6.87","2.507560779969","1.92","Corn"
"NTTM-1115","40-60 sm","Gill","8.56","1.5","3.16","1.36","22.98","27.1","12.18","461.06","422.68","503736591.31","38.53","10.7","4.9764427449197","7.56","2.803889457902","2.5","Cotton"
"Cottonchi_tup_1206","40-60 sm","Qum","6.53","1.42","3.92","1.78","27.36","31.32","12.48","406.41","385.64","636225036.98","43.15","12.18","2.8466445861034","9.09","1.8490668875083","","Wheat"
"Cottonchi_tup_1207","40-60 sm","Loy","6.85","2.03","1.66","1.5","29.41","33.55","15.7","474.83","428.1","1048510987.47","50.23","8.49","1.5382976749063","9.55","2.3320524757873","1.03","Corn"
"NMNX-1144","40-60 sm","Loy","7.77","2.28","1.99","1.46","28.2","36.84","18.41","462.96","403.73","852653482.1","58.75","9.18","4.8635115361673","8.59","1.7187720405385","","Corn"
"Jomboy_1825","40-60 sm","Qumoq","8.35","1.84","1.61","1.58","28.7","30.08","18.31","438.84","408.87","1072836348.43","59.19","11.28","3.9446112462206","7.53","3.0092934101878","2.05","Corn"
"Samar_tt-572","40-60 sm","Gill","7.06","1.87","3.4","1.73","24.28","41.81","19.93","417.51","401.19","973512080.71","60.31","","1.2910567940581","8.25","2.2502777771386","2.81","Corn"
"Karta-1114","40-60 sm","Qum","6.26","1.4","3.3","1.74","24.98","23.68","10.18","326.81","335.89","237638672.27","52.15","9.18","4.1158387527172","8.9","2.4313441383949","2.61","Wheat"
"NTTM-1116","40-60 sm","Loy","6.64","2.69","0.76","1.38","28.4","37.5","15.28","448.13","404.72","806296063.34","45.43","11.79","2.1428893054188","8.97","2.0558869078728","","Corn"
"Cottonchi_tup_1208","40-60 sm","Loy","8.85","0.97","5.37","1.74","22.31","16.01","10.7","348.8","347.8","134658141.62","51.81","8.37","3.084454557238","5.88","2.3992232090157","1.53","Wheat"
"Cottonchi_tup_1209","40-60 sm","Qumoq","6.36","2.66","1.75","1.53","19.91","36.27","20.57","426.89","380.66","","55.34","14","4.9920646532429","","2.309235742965","1.68","Corn"
"NMNX-1145","40-60 sm","Gill","6.44","3.18","1.21","1.57","18.4","38.61","27.19","453.42","393.39","1220951784.98","37.51","12.74","2.0193410881338","9.24","2.3736264141874","0.88","Corn"
"Jomboy_1826","40-60 sm","Qum","7.01","2.14","2.04","1.5","29.43","47.18","20.76","449.08","404.47","896359107.35","58.87","10.8","6","8.53","1.8632911048334","","Corn"
"Samar_tt-573","40-60 sm","Loy","8.47","0.63","4.59","1.59","29.65","12.41","8.2","335.08","325.9","90244182.76","47.19","11.8","2.1936815243785","6.26","1.6466535715288","2.64","Wheat"
"Karta-1115","40-60 sm","Loy","6.04","2.4","0.88","1.46","27.41","48.72","30.47","496.1","468.69","1818016731.24","57.97","11.39","6","10.33","1.6529176796482","2.91","Corn"
"NTTM-1117","40-60 sm","Qumoq","6.96","2.33","1.82","1.48","23.38","37.94","17.49","422.94","376.65","854754514.94","88.76","9.89","1","7.56","2.5850044867985","","Wheat"
"Cottonchi_tup_1210","40-60 sm","Gill","8.41","3.29","1.59","1.34","26.31","38.8","19.96","514.42","468.49","1360490573.36","66.49","9.25","5.782076067702","7.05","2.0645707574022","2.67","Corn"
"Cottonchi_tup_1211","40-60 sm","Qum","7.52","1.45","3.64","1.75","22.07","23.73","14.21","373.38","356.52","385465428.53","52.93","8.54","2.3241278729994","7.84","1.9724595253679","1.28","Wheat"
"NMNX-1146","40-60 sm","Loy","7.56","1.78","3.73","1.57","26.45","35.21","17.04","407.07","377.88","688933989.09","42.96","10.84","1.3811873275708","8.01","1.6105769948536","2.89","Corn"
"Jomboy_1827","40-60 sm","Loy","8.95","0.46","3.65","1.8","26.39","10.16","5.43","348.07","","69731796.28","71.87","8.69","4.0521199049046","5.66","1.9959646219259","2.22","Wheat"
"Samar_tt-574","40-60 sm","Qumoq","8.19","1.17","3.18","1.66","28.36","17.39","8.86","363.78","347.01","","","10.29","3.473986907251","7.02","3.8426578676874","2.37","Wheat"
"Karta-1116","40-60 sm","Gill","7.46","1.08","2.48","1.69","27.3","20.68","11.08","388.76","382.87","218367897.63","47.08","8.82","5.9401056752008","7.88","1.8046089934283","2.37","Wheat"
"NTTM-1118","40-60 sm","Qum","7.13","2.46","0.93","1.32","27.68","44.04","25.21","464.25","420.77","1308625335.37","61.02","6.6","1","8.87","2.1737692299468","1.04","Corn"
"Cottonchi_tup_1212","40-60 sm","Loy","8.51","1.61","2.43","1.38","22.35","32.29","13.72","425.42","415.09","665423136.59","56.18","8.51","1.5770563766037","","2.1450675730488","1.34","Corn"
"Cottonchi_tup_1213","40-60 sm","Loy","8.53","0.81","2.83","1.69","23.69","18.44","11.28","367.5","","189908525.46","42.04","10.59","2.4955745752536","7.77","1.7788322872796","","Wheat"
"NMNX-1147","40-60 sm","Qumoq","6.55","2.68","4.17","1.57","28.42","43.6","18.38","448.47","408.11","1409158649.67","54.82","10.25","2.7945316219973","9.63","3.1247737735827","2.49","Corn"
"Jomboy_1828","40-60 sm","Gill","8.14","0.67","4.09","1.61","20.94","14.37","8.65","339.39","343.42","103667296.24","37.68","10.58","3.8246874583275","6.5","2.0398470265964","1.84","Wheat"
"Samar_tt-575","40-60 sm","Qum","7.44","0.93","1.15","1.6","29.77","13.41","9.46","346.14","325.7","","46.98","7.26","3.8588556500527","8.13","2.954054641125","2.57","Wheat"
"Karta-1117","40-60 sm","Loy","7.99","1.67","3.05","1.37","28.38","18.7","16.29","408.71","372.18","343737616.79","","11.84","5.1976668142133","7.32","3.1114651719952","2.12","Corn"
"NTTM-1119","40-60 sm","Loy","8.1","2.1","2.65","1.44","23.33","25.99","14.7","441.78","377.56","755093499.61","","9.69","1.2775376411046","7.58","1.8563924632778","2.94","Wheat"
"Cottonchi_tup_1214","40-60 sm","Qumoq","8.75","0.7","4.39","1.86","23.41","14.57","7.42","343.15","337.34","109090920.29","54.18","8.41","1.2","7.06","2.4130107179316","2.24","Wheat"
"Cottonchi_tup_1215","40-60 sm","Gill","8.73","1.41","4.83","1.86","24.83","17.28","13.47","360.51","319.56","216568104.01","47.73","10.26","4.0199837604152","6.4","3.3989938396635","3.03","Wheat"
"NMNX-1148","40-60 sm","Qum","7.25","1.72","3.53","1.46","29.1","32.97","16.8","423.44","412.47","731900702.22","48.34","9.15","6","7.69","2.2109413811319","1.93","Wheat"
"Jomboy_1829","40-60 sm","Loy","8.5","0.94","5.11","1.84","26.89","10.95","8.92","337","326.7","112945879.23","54.44","12.25","5.7421450242765","7.36","2.7546389376319","2.62","Wheat"
"Samar_tt-576","40-60 sm","Loy","6.48","1.08","4.83","1.74","22.23","21.26","12.38","398.17","355.98","386826179.34","","10.92","3.4485150314006","8.86","2.3468332321988","2.61","Wheat"
"Karta-1118","40-60 sm","Loy","7.42","1.6","2.56","1.46","22.4","18.25","16.01","358.02","348.22","405227463.4","41.5","10.82","4.6085693015292","8.45","2.2417347016958","2.07","Wheat"
"NTTM-1120","40-60 sm","Qumoq","8.13","0.9","4.78","1.77","27.18","16.43","8.44","361.29","357.67","112232843.25","67.98","8.66","2.3994091892892","7.1","1.805763222362","1.64","Wheat"
"Cottonchi_tup_1216","40-60 sm","Gill","6.55","2.76","2.14","1.48","26.53","45.24","22.86","470.11","452.73","1351593736.77","69.76","11.52","4.3795973206582","9.85","1.2","1.14","Corn"
"Cottonchi_tup_1217","40-60 sm","Qum","6.49","3.23","0.67","1.3","26.5","45.79","24.73","477.35","421.19","1600068512.17","43.11","","3.6159316338418","9.11","1.7845927562368","2.61","Corn"
"NMNX-1149","40-60 sm","Loy","7.91","0.85","2.87","1.79","27.22","12.01","9.91","336.9","312.51","108754620.69","47.82","10.95","2.6565797822682","7.61","2.6118945697147","2.04","Wheat"
"Jomboy_1830","40-60 sm","Loy","6.51","2.84","0.92","1.46","26.44","40.55","24.46","465.31","427.67","1852088881.22","57.49","11.03","5.78313809583","10.07","3.9680994263769","1.28","Corn"
"Samar_tt-577","40-60 sm","Qumoq","8.94","0.85","5.24","1.56","29.26","12.82","8.68","357.26","336.9","","38.68","9.81","5.3240433450893","6.41","2.3344677453951","1.73","Wheat"
"Karta-1119","40-60 sm","Gill","8.58","0.66","4.96","1.75","27.2","10.9","9.09","340","357.45","75564338.78","44.14","10.04","3.378570363323","6.35","2.7551556463727","3.15","Wheat"
"NTTM-1121","40-60 sm","Qum","7.36","3.07","2.06","1.33","14.87","40.68","19.59","502.68","461.15","","61.76","9.63","6.7681843414043","8.76","1.728410609962","1.34","Corn"
"Cottonchi_tup_1218","40-60 sm","Loy","8.27","1.27","4.5","1.48","27.11","27.98","12.86","400.71","363.13","600589074.95","68.8","9.31","3.1376188429646","7.49","1.6578589396113","3.07","Cotton"
"Cottonchi_tup_1219","40-60 sm","Loy","6.1","2.09","4.51","1.74","26.69","40.26","20.97","457.46","423.29","","52.36","9.49","1.2","9.46","2.4585485706812","1.65","Corn"
"NMNX-1150","40-60 sm","Qumoq","8.08","0.99","4.15","1.67","23.01","14.57","13.22","333.21","319.9","333848905.39","56.58","10.29","5.1540257017146","6.82","3.1623489988392","2.73","Wheat"
"Jomboy_1831","40-60 sm","Gill","8.2","1.12","5.06","1.72","22.83","18.21","11.77","364.08","330.77","192054414.28","","7.95","2.1922789661189","6.66","2.288246126631","1.53","Wheat"
"Samar_tt-578","40-60 sm","Qum","6.33","2.48","1.03","1.4","23.58","48.81","25.81","481.66","419.22","1751336279.42","40.36","9.94","1.5100376321162","10.26","3.4220108782779","2.25","Corn"
"Karta-1120","40-60 sm","Loy","6.26","2.08","3.76","1.49","27.96","29.76","19.58","415.26","389.23","810070961.61","55.23","9.17","1.3711365168996","9.98","2.598291556905","2.02","Corn"
"NTTM-1122","40-60 sm","Loy","7.81","1.21","3.24","1.72","25.66","12.83","11.49","349.45","321.64","170725647","61.89","7.44","1.653456451178","","2.9","2.44","Wheat"
"Cottonchi_tup_1220","40-60 sm","Qumoq","6.1","2.28","0.81","1.41","28.9","46.1","26.45","508.86","462.78","1619490025.96","54.6","8.08","7","10.47","2.4009650821719","","Corn"
"Cottonchi_tup_1221","40-60 sm","Gill","8.63","0.52","4.86","1.88","26.18","8.77","5.2","289.43","312.18","47550829.78","69.65","10.46","6","7.29","2.4789983789914","2.51","Wheat"
"NMNX-1151","40-60 sm","Qum","7.66","0.83","2.54","1.86","26.69","19.62","11.34","332.79","296.07","110556533.47","48.27","7.87","3.56436913711","7.11","2.0178183329774","2.81","Wheat"
"Jomboy_1832","40-60 sm","Loy","7.95","2.22","2.66","1.45","29.54","48.09","17.09","479.37","449.09","1705229350.44","44.52","10.32","4.628421373385","8.8","2.6131899960314","2.16","Corn"
"Samar_tt-579","40-60 sm","Loy","7.77","1.72","3.66","1.73","24.53","20.28","10.56","376.3","342.49","315859602.31","61.97","7.75","5.1843908310012","6.82","1.3935046493519","","Wheat"
"Karta-1121","40-60 sm","Qumoq","7.33","1.24","3.82","1.64","27.8","29.61","13.13","408.44","372.68","520476768.49","46.58","","3.881292322656","8.61","3.0582316645042","2.55","Wheat"
"NTTM-1123","40-60 sm","Gill","7.44","1.55","2.85","1.75","22.84","18.98","9.35","374.14","329.39","292172299.7","59.72","11.64","3.5997001092268","7.25","2.3305523994684","2.29","Wheat"
"Cottonchi_tup_1222","40-60 sm","Qum","6.21","2.21","1.45","1.55","28.72","52.33","24.86","454.38","400.25","1336945642.41","44.19","9.55","2.2772642495956","9.27","2.6636868535985","3.09","Corn"
"Cottonchi_tup_1223","40-60 sm","Loy","8.37","1.42","3.45","1.82","28.07","18.13","9.29","371.63","347.16","226686896.86","72.51","10.59","3.2244481974639","6.84","1.4184862319714","","Wheat"
"NMNX-1152","40-60 sm","Loy","6.45","3.69","0.61","1.38","24.11","55.5","21.46","477.01","442.08","","58.7","11.31","1.5","10.02","4","1.42","Corn"
"Jomboy_1833","40-60 sm","Qumoq","7.31","1.05","4.55","1.82","22.33","14.07","10.9","298.81","286.44","228552877.27","64.74","6.65","3.4577425462925","7.73","2.0419500029662","1.82","Wheat"
"Samar_tt-580","40-60 sm","Gill","8.51","2.6","3.16","1.43","28.58","29.64","21.12","473.5","434.57","686454216.89","79.86","13.89","4.5765322112646","6.63","2.1424882496175","2.3","Corn"
"Karta-1122","40-60 sm","Qum","6.7","1.11","4.32","1.86","26.6","13.3","9.29","321.19","290.36","","73.39","8.4","6.3447241738194","7.94","1.8050281566331","2.62","Wheat"
"NTTM-1124","40-60 sm","Loy","7.71","0.85","5.38","1.66","25.94","15.14","9.4","364.39","328.66","205081198.23","45.76","9.03","1.7668801319786","7.07","2.4017549246574","2.38","Wheat"
"Cottonchi_tup_1224","40-60 sm","Loy","8.84","0.82","2.46","1.79","28.78","15.53","7.78","356.72","335.85","155487559.92","45.23","9.75","5.4205558837881","6.57","1","1.37","Wheat"
"Cottonchi_tup_1225","40-60 sm","Qumoq","7.7","1.67","4.02","1.62","28.55","36.64","18.82","421.97","370.59","","55.53","12.31","1.9976486992017","8.18","2.5311552672657","2.63","Cotton"
"NMNX-1153","40-60 sm","Gill","8.2","1.38","2.69","1.49","28.53","22.2","15.01","397.22","369.9","484514140.39","38.82","7.37","1.2","7.27","1.902952740909","","Wheat"
"Jomboy_1834","40-60 sm","Qum","8.3","0.75","2.27","1.79","27.29","13.59","6.81","336.68","298.22","101341518.42","50.25","10.21","4.0145216683218","6.48","2.0956758608562","2.84","Wheat"
"Samar_tt-581","40-60 sm","Loy","6.05","2.76","2.13","1.64","21.8","30.65","21.32","473.4","421.97","1100872572.83","67.3","6.07","4.1361376173062","9.8","3.1722404646617","2.03","Corn"
"Karta-1123","40-60 sm","Loy","7.55","2.62","2.31","1.47","29.21","51.61","18.97","488.63","435.81","","54.01","10.1","2.4261993147759","7.85","1.0862990275174","1.94","Corn"
"NTTM-1125","40-60 sm","","","","","","","","","","","","","","","7.16","2.2891363671322","2.38","Wheat"
"Cottonchi_tup_1226","40-60 sm","","","","","","","","","","","","","","","7.82","1.8452630105072","2.54","Cotton"
"Cottonchi_tup_1227","40-60 sm","Gill","8.89","0.46","4.54","1.79","27.77","9.95","5.33","325.48","331.53","47041560.06","49.34","7.46","3.7437259307515","6.4","2.8253711509797","2.32","Wheat"
"NMNX-1154","40-60 sm","Qum","6.63","1.5","2.72","1.5","27.2","34.74","16.42","415.73","390.54","665881453.25","45.33","9.23","5.7305261645132","9.14","1.8088638409375","1.77","Wheat"
"Jomboy_1835","40-60 sm","Loy","6.54","0.81","4.7","1.78","27.18","13.77","7.02","354.28","334.35","143820433.83","53.57","9.28","4.6486939729986","9.15","1.4987345954706","2.33","Wheat"
"Samar_tt-582","40-60 sm","Loy","6.47","2.67","2.83","1.49","26.74","37.03","23.87","443.06","414.03","1575927845.85","41.12","10.81","6","10.2","1.8877663461695","2.68","Corn"
"Karta-1124","40-60 sm","Qumoq","7.13","0.93","4.98","1.89","27.7","15.52","7.18","324.24","292","","56.99","7.51","3.6827340967338","7.93","4","0.96","Wheat"
"NTTM-1126","40-60 sm","Gill","7.15","2.41","3.38","1.44","27.25","39.22","18.34","438.47","421.81","983921357.47","","9.45","1.6475478752937","7.81","2.1475308982569","2.26","Corn"
